match_id,date,team1,team2,venue,city,winner
1490438,2025-10-25,South Africa,Australia,"Holkar Cricket Stadium, Indore",Indore,Australia
1490439,2025-10-26,New Zealand,England,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,England
1490440,2025-10-26,Bangladesh,India,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,
1490441,2025-10-29,South Africa,England,"Barsapara Cricket Stadium, Guwahati",Guwahati,South Africa
1490442,2025-10-30,Australia,India,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India
1490443,2025-11-02,India,South Africa,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India
357962,2009-03-10,England,India,North Sydney Oval,Sydney,England
594891,2013-01-31,India,West Indies,Brabourne Stadium,Mumbai,India
594894,2013-02-01,England,Sri Lanka,Brabourne Stadium,Mumbai,Sri Lanka
594897,2013-02-03,India,England,Brabourne Stadium,Mumbai,England
594901,2013-02-05,India,Sri Lanka,Brabourne Stadium,Mumbai,Sri Lanka
594904,2013-02-08,Australia,England,Brabourne Stadium,Mumbai,Australia
594907,2013-02-10,Australia,Sri Lanka,Brabourne Stadium,Mumbai,Australia
594909,2013-02-11,New Zealand,West Indies,Brabourne Stadium,Mumbai,West Indies
594912,2013-02-13,England,New Zealand,Brabourne Stadium,Mumbai,England
594914,2013-02-15,England,New Zealand,Brabourne Stadium,Mumbai,England
594915,2013-02-17,Australia,West Indies,Brabourne Stadium,Mumbai,Australia
